Date,Open,High,Low,Close,Adj Close,Volume
2021-06-15,55.779999,55.790001,55.189999,55.410000,53.768711,11154200
2021-06-16,55.439999,55.459999,54.639999,54.669998,53.050629,15211700
2021-06-17,54.669998,55.150002,54.650002,54.950001,53.322338,10658400
2021-06-18,54.509998,54.619999,53.720001,53.770000,52.177288,31445600
2021-06-21,54.220001,54.430000,54.000000,54.360001,52.749817,14404300
2021-06-22,54.340000,54.849998,54.259998,54.560001,52.943890,13072800
2021-06-23,54.560001,54.599998,54.110001,54.119999,52.516918,12339200
2021-06-24,54.259998,54.419998,54.000000,54.389999,52.778923,11488400
2021-06-25,54.240002,54.470001,54.009998,54.320000,52.710999,18880300
2021-06-28,54.250000,54.369999,54.000000,54.259998,52.652771,10556900
2021-06-29,54.130001,54.340000,53.720001,53.860001,52.264622,12300900
2021-06-30,53.799999,54.180000,53.750000,54.110001,52.507217,14614200
2021-07-01,54.340000,54.480000,53.860001,53.959999,52.361660,13214700
2021-07-02,54.000000,54.450001,54.000000,54.180000,52.575142,10604600
2021-07-06,53.990002,54.090000,53.549999,53.880001,52.284031,15278200
2021-07-07,53.720001,54.380001,53.720001,54.320000,52.710999,14377700
2021-07-08,54.009998,54.169998,53.740002,54.130001,52.526623,11943900
2021-07-09,54.250000,54.520000,54.180000,54.459999,52.846848,10847000
2021-07-12,54.320000,54.599998,54.270000,54.480000,52.866253,15107600
2021-07-13,54.950001,55.299999,54.750000,55.020000,53.390266,15170800
2021-07-14,55.020000,56.349998,54.959999,56.259998,54.593529,22002700
2021-07-15,56.240002,56.470001,55.910000,56.439999,54.768204,15068200
2021-07-16,56.459999,56.680000,56.259998,56.400002,54.729385,14860500
2021-07-19,56.080002,56.349998,55.160000,55.730000,54.079231,19527000
2021-07-20,55.730000,56.330002,55.520000,55.830002,54.176273,16257900
2021-07-21,57.330002,57.560001,56.430000,56.549999,54.874943,20918200
2021-07-22,56.619999,56.740002,56.049999,56.470001,54.797314,13402700
2021-07-23,56.590000,57.330002,56.450001,57.009998,55.321316,12144000
2021-07-26,56.889999,57.119999,56.560001,57.060001,55.369835,8681100
2021-07-27,57.110001,57.540001,56.919998,57.259998,55.563911,12794400
2021-07-28,56.990002,57.160000,56.630001,56.740002,55.059315,9858000
2021-07-29,57.070000,57.250000,56.860001,57.049999,55.360134,9599100
2021-07-30,57.150002,57.250000,56.900002,57.029999,55.340721,11727000
2021-08-02,57.200001,57.240002,56.709999,56.880001,55.195168,9778000
2021-08-03,57.000000,57.000000,56.750000,56.919998,55.233982,8825500
2021-08-04,56.750000,56.950001,56.009998,56.099998,54.438271,11888400
2021-08-05,56.439999,56.590000,56.290001,56.500000,54.826427,9806800
2021-08-06,56.599998,56.740002,56.439999,56.639999,54.962276,10409300
2021-08-09,56.799999,56.880001,56.430000,56.650002,54.971981,8859900
2021-08-10,56.840000,57.169998,56.660000,56.799999,55.117538,10906900
2021-08-11,56.889999,57.180000,56.709999,56.730000,55.049610,8370700
2021-08-12,56.730000,56.980000,56.730000,56.840000,55.156357,6169200
2021-08-13,56.810001,57.299999,56.770000,57.230000,55.534798,7714200
2021-08-16,57.200001,57.490002,57.029999,57.480000,55.777393,7972000
2021-08-17,57.459999,57.560001,57.009998,57.279999,55.583321,10346400
2021-08-18,57.189999,57.230000,56.419998,56.500000,54.826427,13873700
2021-08-19,56.060001,56.980000,55.950001,56.860001,55.175762,9223700
