Date,Open,High,Low,Close,Adj Close,Volume
2021-08-16,239.000000,241.050003,238.559998,240.970001,235.709976,2175300
2021-08-17,240.350006,240.839996,238.210007,240.279999,235.035019,1652000
2021-08-18,239.440002,239.759995,237.779999,238.080002,232.883041,2215500
2021-08-19,236.679993,238.119995,236.070007,237.229996,232.051590,1455400
2021-08-20,236.960007,239.389999,236.320007,238.490005,233.284103,1989700
2021-08-23,239.460007,240.070007,237.990005,239.660004,234.428543,2086900
2021-08-24,240.389999,240.389999,238.320007,238.429993,233.225388,1687700
2021-08-25,237.929993,239.600006,237.839996,238.830002,233.616684,1668000
2021-08-26,238.789993,238.919998,235.919998,236.949997,231.777695,2008000
2021-08-27,237.429993,238.369995,236.369995,237.479996,232.296143,1784000
2021-08-30,237.339996,237.759995,235.860001,236.589996,231.425552,2245600
2021-08-31,235.750000,237.729996,234.669998,237.460007,233.550003,2938100
2021-09-01,237.880005,239.039993,237.210007,238.149994,234.228638,2197100
2021-09-02,239.199997,239.949997,238.380005,239.869995,235.920303,2140200
2021-09-03,238.389999,239.649994,237.509995,238.820007,234.887619,1339300
2021-09-07,238.610001,238.610001,235.949997,236.190002,232.300919,1820000
2021-09-08,236.800003,239.460007,236.000000,238.619995,234.690887,2718400
2021-09-09,238.419998,241.429993,237.770004,238.610001,234.681061,2992200
2021-09-10,240.320007,241.320007,239.039993,239.179993,235.241669,2035200
2021-09-13,240.830002,241.800003,239.839996,241.210007,237.238266,2294800
2021-09-14,241.729996,242.250000,239.500000,241.130005,237.159561,2013800
2021-09-15,240.470001,241.270004,238.179993,240.979996,237.012024,2507200
2021-09-16,240.289993,243.589996,239.949997,243.210007,239.205322,3410700
2021-09-17,243.839996,244.630005,241.880005,242.490005,238.497177,4756600
2021-09-20,239.880005,241.960007,236.639999,239.089996,235.153152,4549900
2021-09-21,240.000000,242.350006,239.399994,240.500000,236.539948,2008300
2021-09-22,241.800003,245.860001,241.470001,243.130005,239.126633,3361900
2021-09-23,243.740005,245.949997,243.529999,244.779999,240.749466,2941700
2021-09-24,246.639999,247.380005,245.240005,246.419998,242.362457,2508800
2021-09-27,246.000000,248.899994,245.279999,248.110001,244.024643,2463300
2021-09-28,247.289993,247.710007,242.910004,243.770004,239.756104,3007500
2021-09-29,244.380005,245.710007,243.149994,244.279999,240.257706,1719000
2021-09-30,244.770004,245.419998,240.820007,241.110001,237.139908,3136800
2021-10-01,243.070007,244.690002,240.250000,242.929993,238.929932,2076000
2021-10-04,242.059998,244.809998,241.860001,243.080002,239.077454,2236500
2021-10-05,243.970001,246.880005,243.009995,245.220001,241.182220,2463100
2021-10-06,244.559998,247.160004,243.020004,247.100006,243.031281,2107900
2021-10-07,248.000000,249.949997,247.679993,248.320007,244.231186,2423900
2021-10-08,249.250000,249.630005,247.110001,247.699997,243.621384,1687500
2021-10-11,248.100006,249.139999,246.449997,246.580002,242.519836,1504000
2021-10-12,247.729996,248.600006,244.179993,244.520004,240.493759,2346700
2021-10-13,243.270004,243.869995,239.899994,242.649994,238.654526,3214300
2021-10-14,242.880005,245.419998,242.039993,244.550003,240.523254,2512000
2021-10-15,245.240005,246.380005,241.990005,242.250000,238.261124,2564700
2021-10-18,242.419998,243.449997,241.130005,242.259995,238.270950,2484900
2021-10-19,243.220001,243.929993,241.529999,242.770004,238.772552,2071600
2021-10-20,240.399994,242.649994,239.289993,239.720001,235.772781,3040200
2021-10-21,240.169998,241.910004,239.309998,241.399994,237.425110,2702400
2021-10-22,240.710007,242.240005,238.000000,238.440002,234.513870,3283700
2021-10-25,239.229996,239.250000,236.500000,237.339996,233.431961,3178400
2021-10-26,237.470001,238.399994,236.139999,236.419998,232.527115,3066400
2021-10-27,241.050003,244.619995,238.850006,242.729996,238.733231,5249400
2021-10-28,243.399994,246.080002,242.529999,245.500000,241.457611,3448500
2021-10-29,243.000000,246.089996,242.470001,245.550003,241.506790,4329400
2021-11-01,245.800003,251.690002,245.339996,250.580002,246.453964,4456200
2021-11-02,251.759995,252.220001,248.160004,249.240005,245.136032,2624300
2021-11-03,247.990005,251.130005,247.910004,250.399994,246.276901,2399000
2021-11-04,251.119995,254.179993,250.199997,253.460007,249.286545,2711000
2021-11-05,254.690002,257.529999,254.619995,254.710007,250.515961,3224300
2021-11-08,254.779999,255.649994,251.929993,253.100006,248.932480,2471300
2021-11-09,252.910004,253.690002,250.449997,252.649994,248.489868,2258900
2021-11-10,250.809998,253.720001,250.809998,253.130005,248.961990,1794300
2021-11-11,253.330002,253.330002,249.259995,250.160004,246.040878,1640500
2021-11-12,250.149994,251.009995,248.889999,250.669998,246.542480,1625200
2021-11-15,250.669998,253.759995,250.669998,252.940002,248.775116,1709200
2021-11-16,253.500000,254.190002,252.380005,252.460007,248.303009,2195500
2021-11-17,252.410004,253.339996,250.520004,252.690002,248.529221,1412000
2021-11-18,253.160004,253.490005,251.080002,253.479996,249.306213,1751200
2021-11-19,253.289993,253.320007,250.229996,251.949997,247.801407,2743100
2021-11-22,252.669998,255.449997,252.210007,253.479996,249.306213,2438700
2021-11-23,254.809998,255.789993,253.050003,255.649994,251.440475,2770000
2021-11-24,254.500000,257.790009,254.050003,257.109985,252.876419,2642800
2021-11-26,252.509995,253.160004,248.270004,250.009995,245.893341,2573300
2021-11-29,251.850006,252.320007,249.830002,250.300003,246.178574,2084600
2021-11-30,247.380005,247.899994,243.949997,244.600006,241.906158,3836100
2021-12-01,245.759995,250.899994,244.110001,244.179993,241.490768,3275300
2021-12-02,245.660004,250.339996,245.000000,248.800003,246.059906,3290500
2021-12-03,250.320007,250.679993,247.570007,249.330002,246.584045,3229900
2021-12-06,252.399994,256.929993,252.369995,255.789993,252.972900,3616800
2021-12-07,256.950012,260.380005,256.450012,259.910004,257.047546,2596200
2021-12-08,260.000000,262.809998,259.089996,259.579987,256.721130,3453100
2021-12-09,259.500000,263.100006,258.359985,262.339996,259.450775,2955100
2021-12-10,263.880005,265.269989,262.429993,264.970001,262.051819,2529600
2021-12-13,264.220001,265.859985,262.399994,263.089996,260.192535,2878800
2021-12-14,263.000000,263.589996,261.750000,262.519989,259.628754,3695500
2021-12-15,262.160004,265.670013,261.410004,264.519989,261.606750,2641800
2021-12-16,265.559998,266.890015,264.089996,265.549988,262.625397,2347700
2021-12-17,264.000000,264.850006,260.880005,261.700012,258.817841,5943200
2021-12-20,259.630005,261.959991,258.429993,261.730011,258.847504,2824500
2021-12-21,264.290009,266.480011,263.420013,264.390015,261.478210,2851800
2021-12-22,264.320007,265.440002,264.070007,264.940002,262.022125,1795100
2021-12-23,265.920013,267.369995,265.450012,265.950012,263.021027,1509800
2021-12-27,266.470001,268.260010,266.000000,268.239990,265.285767,1485500
2021-12-28,267.579987,269.220001,267.250000,267.880005,264.929749,1304000
2021-12-29,268.450012,269.720001,267.950012,268.489990,265.533020,1318500
2021-12-30,269.000000,269.260010,266.700012,267.209991,264.267120,1714600
2021-12-31,268.000000,269.119995,267.209991,268.070007,265.117676,1519200
2022-01-03,269.489990,270.730011,265.559998,268.579987,265.622040,2750600
2022-01-04,269.500000,271.149994,268.269989,268.510010,265.552826,2506000
2022-01-05,269.299988,270.279999,266.899994,267.190002,264.247345,2473000
