Date,Open,High,Low,Close,Adj Close,Volume
2008-12-22,42.939999,43.910000,41.450001,41.930000,30.031332,3332100
2008-12-23,42.740002,43.570000,41.799999,42.000000,30.081472,2923300
2008-12-24,41.799999,41.840000,41.169998,41.660000,29.837948,861300
2008-12-26,42.000000,42.910000,41.779999,42.470001,30.418091,1214600
2008-12-29,42.439999,43.750000,42.439999,43.580002,31.213102,2312700
2008-12-30,43.810001,45.000000,43.430000,44.930000,32.179996,2362600
2008-12-31,44.889999,45.549999,44.279999,45.200001,32.373394,3523900
2009-01-02,45.259998,45.910000,44.130001,45.200001,32.373394,3279700
2009-01-05,44.759998,45.009998,43.299999,44.529999,31.893505,5171400
2009-01-06,43.160000,44.320000,42.720001,43.169998,30.919449,5138700
2009-01-07,42.470001,43.119999,41.209999,41.459999,29.694710,5189100
2009-01-08,41.700001,42.630001,40.970001,42.230000,30.246208,4012700
2009-01-09,42.299999,42.720001,41.570000,41.980000,30.067137,3578800
2009-01-12,41.840000,42.639999,40.599998,41.029999,29.386728,3964400
2009-01-13,40.549999,42.099998,40.270000,41.790001,29.931057,4377700
2009-01-14,40.849998,41.520000,39.689999,40.000000,28.649015,5199400
2009-01-15,40.070000,40.700001,38.290001,39.980000,28.634689,6465400
2009-01-16,40.830002,41.740002,39.590000,41.049999,29.401045,5471800
2009-01-20,39.880001,42.700001,38.360001,38.360001,27.474400,9106100
2009-01-21,40.110001,40.950001,38.529999,40.619999,29.093067,7560700
2009-01-22,39.919998,40.500000,38.410000,38.560001,27.617655,7341000
2009-01-23,37.939999,38.389999,36.740002,37.919998,27.159260,6146000
2009-01-26,38.509998,39.349998,37.169998,37.580002,26.915741,6193300
2009-01-27,38.520000,40.389999,38.040001,39.889999,28.570232,11452400
2009-01-28,41.650002,41.830002,39.610001,41.240002,29.537136,10287400
2009-01-29,40.110001,40.650002,39.230000,39.430000,28.240770,5802400
2009-01-30,39.860001,40.150002,38.189999,38.639999,27.674948,5699700
2009-02-02,37.790001,39.139999,37.349998,38.790001,27.782379,4101900
2009-02-03,39.139999,39.560001,38.639999,39.189999,28.068876,4209500
2009-02-04,39.410000,39.459999,38.380001,38.630001,27.667786,4688200
2009-02-05,38.290001,38.980000,38.119999,38.279999,27.417112,6212000
2009-02-06,38.599998,39.910000,38.490002,39.720001,28.448463,6492500
2009-02-09,39.849998,40.810001,39.590000,40.610001,29.085913,3824200
2009-02-10,40.220001,40.959999,38.590000,38.840000,27.818190,8352300
2009-02-11,39.299999,41.040001,38.830002,40.959999,29.336582,5936900
2009-02-12,40.009998,41.849998,39.779999,41.740002,29.895247,6369100
2009-02-13,41.389999,41.750000,40.200001,40.369999,28.914026,5385500
2009-02-17,39.720001,40.020000,38.349998,39.169998,28.054543,7945000
2009-02-18,40.000000,40.189999,38.490002,38.930000,27.882647,6125900
2009-02-19,39.560001,40.000000,38.430000,38.500000,27.574678,6544600
2009-02-20,37.169998,39.009998,36.759998,38.340000,27.460075,8947600
2009-02-23,38.490002,38.709999,37.470001,37.490002,26.851292,7462900
2009-02-24,38.169998,39.330002,37.020000,39.240002,28.104687,9213300
2009-02-25,39.419998,39.419998,37.049999,37.900002,27.144941,8022000
2009-02-26,38.639999,38.700001,36.230000,36.709999,26.292635,7965500
2009-02-27,35.709999,36.970001,35.000000,36.150002,25.891546,8397800
2009-03-02,35.290001,37.099998,35.240002,35.709999,25.576401,8812700
2009-03-03,36.410000,36.660000,34.439999,34.750000,24.888824,7875900
2009-03-04,34.270000,36.320000,34.189999,35.639999,25.526270,7082400
2009-03-05,34.599998,35.490002,33.259998,33.939999,24.308680,8570800
2009-03-06,33.770000,34.660000,33.209999,34.439999,24.886786,9094300
2009-03-09,33.840000,34.750000,33.070000,33.520000,24.221975,6674600
