Date,Open,High,Low,Close,Adj Close,Volume
2008-09-17,30.305344,30.725191,29.570610,29.704199,18.027506,23541853
2008-09-18,29.990458,30.572519,29.227098,30.467558,18.490788,20807202
2008-09-19,31.145039,31.364504,29.122137,30.381680,18.438663,26693294
2008-09-22,30.524809,31.125954,29.914122,30.009542,18.212816,12337894
2008-09-23,30.028625,30.534351,29.284351,29.341602,17.807440,18463454
2008-09-24,29.351145,30.267176,29.293894,30.028625,18.224398,11903079
2008-09-25,30.181297,31.135496,30.076336,30.887405,18.745590,16323648
2008-09-26,30.562977,31.125954,30.343512,30.648855,18.600815,13415343
2008-09-29,30.429390,30.648855,28.950382,28.950382,17.570011,25067846
2008-09-30,29.532442,30.333969,29.360687,30.114504,18.276516,15752174
2008-10-01,29.980915,30.954199,29.961832,30.620230,18.583437,14831191
2008-10-02,30.276718,30.973282,29.637405,29.675573,18.010126,18309608
2008-10-03,29.952290,30.820610,29.818703,30.324427,18.403917,18125684
2008-10-06,29.856871,30.801527,27.709925,28.664122,17.396276,24766126
2008-10-07,28.664122,29.809160,27.500000,27.595421,16.747679,21661531
2008-10-08,27.270992,28.559160,26.727098,27.213739,16.516041,23559250
2008-10-09,27.146948,27.261450,24.360687,25.009542,15.178311,26672124
2008-10-10,24.103052,27.022902,22.557253,25.028625,15.189889,40341398
2008-10-13,25.982824,28.425573,25.877863,28.072519,17.037231,21405819
2008-10-14,29.885496,29.990458,26.870230,27.795801,16.869291,20725248
2008-10-15,27.509542,27.767176,25.200382,25.343512,15.380996,19094665
2008-10-16,26.011450,27.003817,24.427481,26.898855,16.324934,20571926
2008-10-17,26.278625,28.816793,26.078243,27.194656,16.504456,24122654
2008-10-20,27.919847,29.875954,27.318703,29.580153,17.952219,28478981
2008-10-21,28.988550,30.000000,28.473282,28.597328,17.355740,14933371
2008-10-22,27.767176,28.540075,26.240458,26.727098,16.220697,21661636
2008-10-23,27.137405,28.034351,25.629770,27.528625,16.707150,23369352
2008-10-24,25.295801,26.946566,25.248093,26.097328,15.838489,18036604
2008-10-27,25.791985,27.061069,24.618320,25.591602,15.531564,17051170
2008-10-28,25.667938,28.530535,24.904579,28.330153,17.193592,24089223
2008-10-29,28.110687,29.303434,27.223282,27.366411,16.608698,19345242
2008-10-30,27.996183,29.379770,27.996183,28.807253,17.483147,16199355
2008-10-31,28.645039,30.238550,27.795801,29.532442,17.923258,17296087
2008-11-03,29.513359,29.675573,28.206106,28.597328,17.355740,12403394
2008-11-04,29.131680,29.866411,28.778625,29.704199,18.027506,15302896
2008-11-05,29.274809,29.580153,27.242367,27.404579,16.631859,15375732
2008-11-06,27.251907,27.986641,26.354961,26.583969,16.133827,20313594
2008-11-07,26.812977,28.024809,26.717558,27.595421,16.747679,11336321
2008-11-10,28.206106,28.482824,26.250000,26.631680,16.162786,13801217
2008-11-11,26.536261,26.755726,25.782442,26.288168,15.954308,12315991
2008-11-12,26.145039,26.164122,25.305344,25.496183,15.473655,13757830
2008-11-13,26.135496,27.414122,24.885496,27.223282,16.521833,20931390
2008-11-14,26.679390,27.452290,26.001907,26.078243,15.826907,16958736
2008-11-17,25.505726,25.734734,24.723282,24.799618,15.050907,12557346
2008-11-18,24.503817,25.477098,23.921757,24.933207,15.131982,19086490
2008-11-19,24.646948,25.667938,24.045801,24.150763,14.657116,16291789
2008-11-20,24.026718,25.381680,22.118320,22.480915,13.643686,24342525
2008-11-21,22.805344,23.339695,21.774809,23.282442,14.130129,25517962
2008-11-24,23.702290,24.770992,23.263359,24.274809,14.732396,17992588
2008-11-25,24.666031,24.809160,23.998093,24.627863,14.946671,14305095
2008-11-26,24.236641,25.181297,23.854961,25.104961,15.236222,13383484
2008-11-28,24.503817,25.496183,24.465649,25.496183,15.473655,6205522
2008-12-01,25.162214,25.524809,23.625954,23.711832,14.390729,15388518
2008-12-02,24.685116,25.543894,24.198473,25.458015,15.450490,16288121
2008-12-03,24.475191,25.467558,24.265266,25.248093,15.544488,15567516
2008-12-04,24.169847,24.837786,23.492367,23.854961,14.686771,21624222
2008-12-05,23.540075,25.687023,23.024809,25.276718,15.562110,24317582
2008-12-08,25.772902,26.412214,25.524809,25.763359,15.861720,16085018
